label,channel,activity,mobility,complexity
0,Fp2-F4,5.5473095683029256e-11,1.2553247761275508,1.3004837395135023
0,F4-C4,2.818813363563053e-12,0.5606879807855685,2.8188190014413097
0,C4-P4,2.2638694136056706e-13,0.9683899243162678,1.7310091839897257
0,P4-O2,9.134635152291466e-13,0.7665858500918823,2.152018526661498
0,Fp1-F3,6.087438397200359e-12,0.5736025007021907,2.7373291529669146
0,F3-C3,5.921537403393778e-12,0.3596170445526538,4.529061123001836
0,C3-P3,1.6487479108356207e-12,0.42534768471231316,3.6174441244142375
0,P3-O1,5.5671647222578826e-11,0.9497907938423337,1.6694994149596054
0,Fp2-F8,5.6582080182836143e-11,1.2605048561300534,1.2884022667873636
0,F8-T4,1.972836142946072e-11,0.5959648677034297,2.7641059770486396
0,T4-T6,1.1660403460718274e-11,0.2808728860194201,5.378579768136665
0,T6-O2,1.6316384097853726e-12,0.7646323820042767,1.90065075545716
0,Fp1-F7,5.352525612985779e-11,1.0574644543538188,1.5094448217528913
0,F7-T3,5.841125524864563e-11,1.021769659607512,1.5654411972390188
0,T3-T5,1.6765192417169863e-12,0.8511982789536181,1.9009155715896477
0,T5-O1,6.223608130387979e-11,0.898600522149209,1.7465249598965953
0,Fz-Cz,4.345007510751917e-11,0.4898845251896684,2.7318777744681033
0,Cz-Pz,1.674086254948906e-12,0.4034076096118993,4.226433431786096
0,Fp2-F4,4.676801596283756e-11,1.0710971295445666,1.4446779874348674
0,F4-C4,7.104512721303522e-12,0.30187389314898133,5.413559922399699
0,C4-P4,3.9185951421764183e-13,0.7499911645844235,2.1979931761815235
0,P4-O2,1.0377628272829317e-12,0.7528778837220022,2.173556902904397
0,Fp1-F3,1.1060169479158664e-11,0.4086101384090803,3.8656882064510993
0,F3-C3,2.237479708250996e-11,0.18986724311418607,7.645190852486353
0,C3-P3,1.1733719398362292e-11,0.18561221464440447,7.5465241572290305
0,P3-O1,8.303953328422992e-11,0.736285031777047,2.1639439908905906
0,Fp2-F8,4.540464338972111e-11,1.1572380740954478,1.3448764912098978
0,F8-T4,1.0045335929034667e-11,0.8200124902284753,1.9407840624636796
0,T4-T6,1.0510331982293345e-11,0.32375869222546216,4.6857180875182785
0,T6-O2,2.004404786971206e-12,0.6357123995603049,2.293141856966904
0,Fp1-F7,8.054669059940401e-11,0.9413983316545098,1.8024609358302475
0,F7-T3,2.3453744874219326e-10,0.5447134386650399,3.07699499354423
0,T3-T5,9.42999530368526e-12,0.3644171855199146,3.9547496331002425
0,T5-O1,2.2448670992523207e-10,0.4459119867800988,3.5527376767179066
0,Fz-Cz,3.9949581223781564e-11,0.5385739564987743,2.5889823897361652
0,Cz-Pz,4.106198241269622e-12,0.27627091993226793,5.943719317422507
0,Fp2-F4,4.4366901065135664e-11,0.7776683741225855,1.98161815077189
0,F4-C4,2.5544418434253676e-11,0.1506323411988593,10.169865067867311
0,C4-P4,2.088284739493763e-12,0.3170422968977408,5.437338025190947
0,P4-O2,5.067948599049882e-12,0.33065907657749366,5.112572096699965
0,Fp1-F3,3.557261069107562e-11,0.19254824665061068,7.776101954216417
0,F3-C3,7.024534261256325e-11,0.10290183942699066,13.598933104378574
0,C3-P3,4.2001728677541507e-11,0.11239044663319872,11.264081071364153
0,P3-O1,1.0839637937343663e-10,0.537804330714891,2.8749198023584794
0,Fp2-F8,4.3058027651907926e-11,0.833512710032166,1.8660890772123129
0,F8-T4,1.294389966013541e-11,0.5693697624658013,2.8605555811891725
0,T4-T6,1.206273301911765e-11,0.2676633678455605,5.754206212367659
0,T6-O2,3.4759026066638907e-12,0.46782470485086375,3.1990630930629993
0,Fp1-F7,7.044033479840171e-11,0.7703685141641028,2.1339539524983135
0,F7-T3,2.2056562584100903e-10,0.43572242065514044,3.713595146956068
0,T3-T5,1.757385566807326e-10,0.10499944991365197,11.183969095516073
0,T5-O1,1.3380590543526987e-10,0.5068721153208019,3.033985319801252
0,Fz-Cz,5.575841463833036e-11,0.49064620963001765,2.999231620164763
0,Cz-Pz,5.180396070539426e-12,0.23079916472730178,7.04283510266293
0,Fp2-F4,5.966558294377579e-11,0.49239195514404305,3.0358799246415824
0,F4-C4,1.7555413790684235e-11,0.1578264604357108,9.70914031467611
0,C4-P4,1.481852963340606e-12,0.40130604746674314,4.2384898858451825
0,P4-O2,1.838297484771195e-12,0.5463572067127591,2.9790497755396914
0,Fp1-F3,2.846316907858304e-10,0.07701031215537542,15.278631944872208
0,F3-C3,1.0320837680213069e-10,0.08942960049673802,12.73517817474149
0,C3-P3,8.907185744061705e-11,0.062097476193284915,24.72211487558358
0,P3-O1,4.6043744078617084e-10,0.19849726759778324,7.599126915856847
0,Fp2-F8,7.823021852542689e-11,0.44293151319463725,3.4309663282271656
0,F8-T4,1.7972845294338574e-11,0.3425598352682087,4.388571369306438
0,T4-T6,1.0079822747621046e-11,0.268892377197161,5.75553628169747
0,T6-O2,2.3114497673726545e-12,0.590263151266987,2.5087632017534265
0,Fp1-F7,5.289067457719888e-10,0.19885710173384935,7.973150873729946
0,F7-T3,4.0189057856066965e-11,0.7291706188322304,2.2625848816999583
0,T3-T5,3.712668397916345e-11,0.17455234053543656,8.289875238290703
0,T5-O1,3.4665608259246876e-10,0.23270294370144332,6.58424593077297
0,Fz-Cz,1.0677601872868594e-10,0.358602323405334,4.085348893760591
0,Cz-Pz,8.083774518432619e-12,0.18180969815515743,9.06794738180747
0,Fp2-F4,1.0499996529777798e-10,0.22205001067650362,6.5786991898976
0,F4-C4,1.003352808384211e-11,0.19454968364124944,7.976276830474774
0,C4-P4,5.808277512516439e-13,0.6056508742362516,2.712489448659813
0,P4-O2,1.8916540464147143e-12,0.536512555920876,3.2081366874580484
0,Fp1-F3,1.79230480436922e-10,0.06246353531052459,24.482602918154175
