label,channel,delta_slope,delta_intercept,delta_midband,theta_slope,theta_intercept,theta_midband,alpha_slope,alpha_intercept,alpha_midband,beta_slope,beta_intercept,beta_midband
0,Fp2-F4,-0.08731498494293512,-9.650879428710457,-9.847338144832062,-0.0023616524661296914,-9.98107668347876,-9.995246598275537,0.00012941385402702547,-10.00093789725682,-9.99964375871655,-5.1432809807309905e-05,-9.998314608162476,-9.999523279192948
0,F4-C4,-0.1095819608140149,-9.577482275473844,-9.824041687305378,-0.00024590933303952385,-9.997420355207405,-9.998895811205642,5.977128576262502e-05,-9.999953115510872,-9.999355402653245,-6.507589237869855e-05,-9.997903194565463,-9.999432478036363
0,C4-P4,-0.00383292033794992,-9.97621729314309,-9.984841363903477,-0.0006616125824020563,-9.99123857346573,-9.995208248960141,-1.57264569031718e-05,-9.999655443885928,-9.999812708454959,-9.768839731059363e-06,-9.99968649234378,-9.99991606007746
0,P4-O2,-0.03476157249119725,-9.869576296516085,-9.947789834621279,-0.003473663436906968,-9.968801294343537,-9.98964327496498,-0.0003644458989694761,-9.995574248970117,-9.999218707959812,-9.515502054091124e-06,-9.999664254654373,-9.999887868952644
0,Fp1-F3,-0.034939451997164556,-9.860266677077728,-9.938880444071348,-0.0009230019353128384,-9.992650555929647,-9.998188567541524,4.3521486149911166e-05,-10.00022938385415,-9.99979416899265,-1.949752871866844e-05,-9.99935522054771,-9.999813412472598
0,F3-C3,-0.06181245878877759,-9.776767737887196,-9.915845770161946,8.879445753876023e-05,-9.993519174675248,-9.992986407930015,9.02565788733159e-05,-9.999845776305172,-9.998943210516439,-2.6772290622554434e-05,-9.999138145009244,-9.999767293838874
0,C3-P3,-0.03038291446112507,-9.895658159908473,-9.964019717446005,-0.0005119485083451778,-9.995820371378649,-9.99889206242872,-5.7786987289907806e-05,-9.999319212113928,-9.999897081986827,-7.890383640580367e-06,-9.999755344132197,-9.99994076814775
0,P3-O1,-0.030641316742071593,-9.89007826120894,-9.959021223878601,-0.0007044030373390147,-9.989332792061084,-9.993559210285119,-0.0002460531904791497,-9.997059415343834,-9.999519947248626,-2.0428870988193253e-05,-9.999339550998098,-9.99981962946632
0,Fp2-F8,-0.022025849272105345,-9.923626579487191,-9.973184740349428,2.4313861002182605e-05,-9.999504936706574,-9.99935905354056,-0.00014903533878939172,-9.99762215350629,-9.999112506894184,-2.4353926995969514e-05,-9.999185743881315,-9.99975806116572
0,F8-T4,-0.09770165969971341,-9.617878882763314,-9.83770761708767,-0.01280602712273864,-9.897725091776099,-9.974561254512532,4.402100919337422e-05,-10.000275029287595,-9.99983481919566,-3.715214369328344e-05,-9.998775351465856,-9.999648426842647
0,T4-T6,-0.01634620292404634,-9.909070003554625,-9.945848960133729,-0.017257378404121903,-9.852906245368244,-9.956450515792975,-0.002025663341688731,-9.97580586335553,-9.996062496772417,-3.3231904763386e-05,-9.998690957429167,-9.999471907191106
0,T6-O2,-0.009064141114508753,-9.955286284964098,-9.975680602471742,-0.0012955612806766536,-9.989660484361858,-9.997433852045917,-0.00015376563209837867,-9.99797590763915,-9.999513563960134,-2.7691836004839523e-05,-9.99908270468474,-9.999733462830854
0,Fp1-F7,-0.002063852363907917,-9.984355018621667,-9.988998686440459,-0.0007268613774330343,-9.992478292363066,-9.996839460627664,-1.5138323499759744e-05,-9.999472029445297,-9.999623412680295,-4.261008774255332e-06,-9.999810369710287,-9.999910503416482
0,F7-T3,-0.0368252828757457,-9.870741435358825,-9.953598321829253,0.00028972300474743745,-9.999583782355058,-9.997845444326574,2.524917224994986e-06,-9.999968170047957,-9.999942920875707,-5.3014653888570315e-06,-9.999821466000668,-9.999946050437305
0,T3-T5,-0.019732878371475627,-9.904583843283465,-9.948982819619285,-0.0001634626503517471,-9.998410833626624,-9.999391609528734,-6.928579892008783e-05,-9.998755838622763,-9.999448696611964,-1.9063553167437525e-05,-9.999386922611915,-9.99983491611135
0,T5-O1,-0.004240815084242613,-9.972627161606193,-9.982168995545738,-0.0008199517600964546,-9.98945604758211,-9.994375758142688,-0.0001122702146575471,-9.998495883385974,-9.99961858553255,-1.0363617580943266e-05,-9.999633022439912,-9.999876567453065
0,Fz-Cz,-0.07103409135458036,-9.735273940303376,-9.895100645851182,-0.0003071315373884765,-9.993025275889643,-9.994868065113973,-0.00025918560822486933,-9.996139197933518,-9.998731054015767,-1.909865505637769e-05,-9.999387631567028,-9.999836449960853
0,Cz-Pz,-0.16120429070429504,-9.394214960306899,-9.756924614391563,-0.00011508271854491138,-9.995865947012685,-9.996556443323955,-0.0005438160356851032,-9.993505558630233,-9.998943718987084,-1.3208142216037588e-05,-9.999582024311986,-9.999892415654063
0,Fp2-F4,-0.08626128740957863,-9.682810653381352,-9.876898550052905,-1.5982569579590314e-05,-9.998706529329395,-9.998802424746872,-3.2633303447826136e-05,-9.999591987314208,-9.999918320348685,-1.9716697609256564e-05,-9.999350643430532,-9.99981398582435
0,F4-C4,-0.017738161739436518,-9.912641992591002,-9.952552856504735,-0.001387238674739669,-9.989504908602964,-9.997828340651402,-6.669210880864928e-05,-9.999035047082891,-9.999701968170978,-1.648421076309732e-05,-9.999402548983348,-9.99978992793628
0,C4-P4,-0.0159932520591941,-9.939983032558885,-9.975967849692072,-0.0002387508977540302,-9.998200259943772,-9.999632765330297,-1.3999542745291997e-05,-9.999783378440622,-9.999923373868075,-1.3728504124557476e-05,-9.999516631376638,-9.999839251223564
0,P4-O2,-0.1152424344860086,-9.571787893123702,-9.831083370717222,-3.6671188329894657e-05,-9.99903008699919,-9.999250114129168,-0.00012162224327833264,-9.998149361298266,-9.999365583731048,-1.008739869337023e-05,-9.999683069613644,-9.999920123482939
0,Fp1-F3,-0.057255822870120515,-9.783923812743193,-9.912749414200965,-0.0007677225348420422,-9.990730480919984,-9.995336816129036,-0.00014460956583801644,-9.998197937117478,-9.999644032775858,-9.84053931750604e-06,-9.999650966746797,-9.999882219420758
0,F3-C3,0.0017288232077478703,-9.969017682356837,-9.965127830139403,-0.0012744640290274082,-9.989320123285532,-9.996966907459697,-2.1935169958351808e-05,-9.999717935486059,-9.999937287185642,-3.0705665751142134e-05,-9.999073081825909,-9.999794664971061
0,C3-P3,-0.0213446143479398,-9.898928679622525,-9.946954061905389,-0.0004469912785685387,-9.995460765413373,-9.998142713084784,-0.00012547618455353065,-9.998413858521987,-9.999668620367522,-2.065880714672996e-05,-9.99938606760656,-9.999871549574507
0,P3-O1,-0.103647724056568,-9.62050899378631,-9.853716372913587,-0.0027148327134445377,-9.977844963882532,-9.9941339601632,4.87891749760078e-05,-9.999645093085398,-9.999157201335638,-2.6967079071397644e-05,-9.999168815067442,-9.99980254142562
0,Fp2-F8,-0.01933993981508028,-9.930273898960941,-9.97378876354487,-0.0001563440735935534,-9.998445393395023,-9.999383457836585,-8.915960767119866e-05,-9.998604479724717,-9.99949607580143,-1.1782081218013841e-05,-9.999579945897198,-9.999856824805821
