label,channel,delta_slope,delta_intercept,delta_midband,theta_slope,theta_intercept,theta_midband,alpha_slope,alpha_intercept,alpha_midband,beta_slope,beta_intercept,beta_midband
0,Fp2-F4,-0.007702701638801679,-9.972944707178007,-9.990275785865311,5.019614712921832e-07,-9.999959858214238,-9.99995684644541,-6.0456662779745635e-05,-9.999286013057722,-9.99989057968552,-1.7389997364061296e-05,-9.999289968011976,-9.99969863295003
0,F4-C4,-0.024890372218741283,-9.88777686178854,-9.943780199280708,-0.0004513111635149932,-9.996659923059719,-9.99936779004081,1.4120887099850472e-05,-10.000062371708184,-9.999921162837186,-1.3093185866034995e-06,-9.999945866035477,-9.999976635022263
0,C4-P4,-0.027762556499785967,-9.900073682119304,-9.962539434243823,-0.00010285573711994964,-9.997758463101093,-9.998375597523813,-1.7585103476646497e-05,-9.999696426786475,-9.999872277821241,-1.0050905122427734e-06,-9.999956025934512,-9.99997964556155
0,P4-O2,-0.027764177989154253,-9.88425598660731,-9.946725387082907,-0.005020219234806234,-9.96102907715699,-9.991150392565828,-0.0002028641294081571,-9.997233427705407,-9.999262068999489,-1.6425555400670854e-05,-9.999448850107894,-9.999834850659811
0,Fp1-F3,-0.005303230031178559,-9.979931399668537,-9.99186366723869,-7.577283697093812e-05,-9.999415110412416,-9.999869747434241,8.969404895717784e-08,-9.999942974107299,-9.999942077166809,-2.8391044742903996e-05,-9.998893041418937,-9.999560230970395
0,F3-C3,-0.003040429121988957,-9.986391217465636,-9.993232182990111,-0.00011612926319508347,-9.998660017740916,-9.999356793320086,1.6390006948541454e-05,-10.000113425995666,-9.99994952592618,-6.375427718164319e-07,-9.999886878450688,-9.999901860705826
0,C3-P3,-0.03935800676117956,-9.86107471542772,-9.949630230640373,-0.00023979705633978162,-9.997885546269803,-9.999324328607841,-3.2359327543617676e-05,-9.999556314210905,-9.99987990748634,-4.8643133649625165e-06,-9.999832932470117,-9.999947243834193
0,P3-O1,-0.011898993072639488,-9.941543336679088,-9.968316071092527,-0.0008426695900280166,-9.993612540076295,-9.998668557616464,-3.915339552050351e-05,-9.99945985581967,-9.999851389774875,-4.008632415094312e-06,-9.9998081044457,-9.999902307307455
0,Fp2-F8,-0.0388493616096685,-9.835011891613064,-9.922422955234818,-0.001024272411881085,-9.991960801120387,-9.998106435591673,2.48310332148808e-05,-10.000181968198099,-9.99993365786595,-2.175507184057087e-05,-9.999162030416086,-9.999673274604339
0,F8-T4,-0.11428381204830894,-9.448284518593725,-9.70542309570242,-0.007417031457359615,-9.941503182858524,-9.986005371602682,-9.861276164218093e-05,-9.998680792340835,-9.999666919957257,-7.736012509034466e-06,-9.999703864228124,-9.999885660522086
