label,channel,delta_slope,delta_intercept,delta_midband,theta_slope,theta_intercept,theta_midband,alpha_slope,alpha_intercept,alpha_midband,beta_slope,beta_intercept,beta_midband
0,Fp2-F4,-0.014307810161940897,-9.949843752125231,-9.982036324989599,0.006980121270846672,-10.019095544398487,-9.977214816773408,-0.0002603918231124626,-9.994276303643252,-9.996880221874378,0.0006406112066498711,-9.998956576908395,-9.983902213552122
0,F4-C4,-0.0008983198573261041,-9.992644378909084,-9.994665598588067,1.4767980084827882e-05,-9.997736081158767,-9.997647473278258,0.00019615245420931822,-10.00071536823315,-9.998753843691057,-1.7078905380768215e-05,-9.999398528234915,-9.999799882511363
0,C4-P4,-0.026665135511483775,-9.884669932292017,-9.944666487192855,0.0005385097828124208,-9.999886238152074,-9.9966551794552,0.0005046187218286008,-10.003954102210393,-9.998907914992108,-8.92125114833379e-05,-9.996077382233963,-9.998173876253821
0,P4-O2,-0.05321103213055818,-9.78061209710693,-9.900336919400686,-0.0059574779661800735,-9.943876743707449,-9.979621611504529,0.0005263841301265514,-10.001764774239854,-9.996500932938588,-0.00029942433462409895,-9.989177360086893,-9.99621383195056
0,Fp1-F3,-0.00493371549966294,-9.97808912901263,-9.989189988886872,0.009115101038213377,-9.978774315521457,-9.924083709292177,0.000927015334974379,-9.997531696137465,-9.98826154278772,-0.00031942754367346394,-9.932375736378592,-9.939882283654919
0,F3-C3,-0.016133577038858846,-9.917836779704361,-9.954137328041794,-0.0023564929415044802,-9.978170038814813,-9.99230899646384,0.0003882812050121802,-10.001822656288217,-9.997939844238095,1.7517943401031196e-05,-9.999849683671115,-9.99943801200119
0,C3-P3,-0.003092449660145276,-9.9861263734071,-9.993084385142426,-0.0015968317454604685,-9.981744360606605,-9.991325351079368,8.195916472364497e-05,-10.000272317235051,-9.999452725587815,-3.851403611053846e-05,-9.997770111312773,-9.998675191161372
0,P3-O1,-0.06033502947904681,-9.739371470755808,-9.875125287083662,-0.001300111693480071,-9.960075724131935,-9.967876394292816,-0.0006662847010417145,-9.984931249753805,-9.991594096764222,-8.248126431058408e-05,-9.99557469210971,-9.997513001821009
0,Fp2-F8,-0.07670285628696959,-9.738060328224131,-9.910641754869813,0.008294960182228804,-10.026556888333783,-9.97678712724041,-0.00019335887905657758,-9.994476774089465,-9.996410362880031,0.0006875874505817604,-10.000261195908482,-9.98410289081981
0,F8-T4,-0.03930184595342877,-9.861269872690118,-9.949699026085332,4.0804756754073405e-05,-9.99961495537593,-9.999370126835407,-0.0004105446559436165,-9.995040507425477,-9.999145953984913,-4.876772988109441e-05,-9.997291663340619,-9.998437704992824
0,T4-T6,-0.02593260731602997,-9.86437580431876,-9.922724170779828,-0.00047630425104211243,-9.99613366868677,-9.998991494193023,-0.00016031947377742004,-9.995716887506239,-9.997320082244013,-4.765852310254233e-05,-9.997002106342205,-9.998122081635115
0,T6-O2,-0.06039575192702594,-9.765080157634443,-9.900970599470252,-0.009245973117061011,-9.922626616309632,-9.978102455011998,-0.0002949792367876823,-9.993251226600105,-9.996201018967982,-5.121013222742773e-05,-9.99655339181749,-9.997756829924834
0,Fp1-F7,-0.005426928844309921,-9.975529611161985,-9.987740201061682,0.008178603062677316,-9.996773716112823,-9.947702097736759,0.0016996568542167955,-10.007128565598267,-9.990131997056098,6.169904503782195e-05,-9.949367184960778,-9.94791725740239
0,F7-T3,-0.028561006704691517,-9.8838558062362,-9.948118071321757,-0.001291022727644644,-9.989672530976124,-9.997418667341991,-2.1933488318699836e-05,-9.999579754518862,-9.99979908940205,-3.3550748442418815e-05,-9.997738324676067,-9.998526767264464
0,T3-T5,-0.11716686499652201,-9.514719048661563,-9.778344494903738,-0.004075230725408427,-9.961773524222288,-9.986224908574739,-0.0006757675966788888,-9.991054821767577,-9.997812497734365,0.00011326902936914583,-9.995682606171476,-9.9930207839813
0,T5-O1,-0.08323081056966324,-9.642445617417719,-9.82971494119946,-0.007843263661649,-9.885756930922785,-9.932816512892678,-0.0026711946437669876,-9.962960572387184,-9.989672518824854,0.0002787687570058746,-9.998084732669886,-9.991533666880247
0,Fz-Cz,-0.006680552409052637,-9.972674585908871,-9.98770582882924,-0.00017989995736817293,-9.997375487114859,-9.998454886859067,-0.00010071122253092624,-9.996488894872048,-9.997496007097357,2.3633924847346132e-05,-9.998844068847596,-9.998288671613684
0,Cz-Pz,-0.00542035625832303,-9.962766235376872,-9.974962036958098,-0.0012678535167917747,-9.989590492928473,-9.997197614029224,-0.00015823506787390767,-9.9977728619147,-9.99935521259344,-1.256882651069804e-05,-9.999568457112051,-9.999863824535053
0,Fp2-F4,-0.01180710335836305,-9.958965617404825,-9.985531599961142,-0.0004944253497476892,-9.993485780322047,-9.996452332420533,0.0007913775486100761,-10.004703896990058,-9.996790121503958,0.0009235594093826374,-10.002205171441233,-9.98050152532074
0,F4-C4,-0.010790841215492076,-9.955925071384575,-9.980204464119433,-4.845157814569366e-05,-9.99705631599919,-9.997347025468065,-0.00030346458446379754,-9.99547237021965,-9.998507016064288,2.712551010030893e-05,-10.000013827714621,-9.999376378227264
